dataset,nu,auc,n_support,fit_time_s
lymphography,0.01,1.0,27,0.0
lymphography,0.05,1.0,27,0.0
lymphography,0.1,1.0,28,0.0
lymphography,0.2,1.0,44,0.0
lymphography,0.3,0.997653,51,0.01
lymphography,0.5,0.995305,79,0.01
mnist,0.01,0.891948,80,0.32
mnist,0.05,0.882856,356,1.37
mnist,0.1,0.882918,698,2.57
mnist,0.2,0.882061,1385,5.16
mnist,0.3,0.88143,2078,7.78
mnist,0.5,0.876658,3454,12.46
monks_0_12_variant1,0.01,1.0,85,0.01
monks_0_12_variant1,0.05,1.0,136,0.01
monks_0_12_variant1,0.1,1.0,145,0.01
monks_0_12_variant1,0.2,1.0,164,0.02
monks_0_12_variant1,0.3,1.0,165,0.02
monks_0_12_variant1,0.5,1.0,211,0.02
monks_0_25_variant1,0.01,1.0,85,0.01
monks_0_25_variant1,0.05,1.0,136,0.01
monks_0_25_variant1,0.1,1.0,145,0.02
monks_0_25_variant1,0.2,1.0,164,0.02
monks_0_25_variant1,0.3,1.0,165,0.02
monks_0_25_variant1,0.5,1.0,211,0.02
monks_0_4_variant1,0.01,1.0,85,0.01
monks_0_4_variant1,0.05,1.0,136,0.01
monks_0_4_variant1,0.1,1.0,145,0.01
monks_0_4_variant1,0.2,1.0,164,0.02
monks_0_4_variant1,0.3,1.0,165,0.02
monks_0_4_variant1,0.5,1.0,211,0.02
mushroom_p_221_variant1,0.01,0.916263,159,0.41
mushroom_p_221_variant1,0.05,0.920934,259,0.67
mushroom_p_221_variant1,0.1,0.927399,461,1.18
mushroom_p_221_variant1,0.2,0.932956,864,2.16
mushroom_p_221_variant1,0.3,0.943091,1277,3.15
mushroom_p_221_variant1,0.5,0.968372,2116,5.09
mushroom_p_365_variant1,0.01,0.944072,157,0.35
mushroom_p_365_variant1,0.05,0.944128,264,0.63
mushroom_p_365_variant1,0.1,0.941499,460,1.05
mushroom_p_365_variant1,0.2,0.937098,863,1.94
mushroom_p_365_variant1,0.3,0.939598,1278,2.88
mushroom_p_365_variant1,0.5,0.943974,2118,4.67
mushroom_p_467_variant1,0.01,0.949146,169,0.36
mushroom_p_467_variant1,0.05,0.948988,267,0.71
mushroom_p_467_variant1,0.1,0.94627,458,1.04
mushroom_p_467_variant1,0.2,0.938194,865,1.89
mushroom_p_467_variant1,0.3,0.936085,1277,2.78
mushroom_p_467_variant1,0.5,0.936934,2116,4.52
mushroom_p_573_variant1,0.01,0.951178,157,0.35
mushroom_p_573_variant1,0.05,0.951485,264,0.64
mushroom_p_573_variant1,0.1,0.94842,460,1.1
mushroom_p_573_variant1,0.2,0.942852,863,2.02
mushroom_p_573_variant1,0.3,0.94293,1278,2.94
mushroom_p_573_variant1,0.5,0.944637,2118,4.68
mushroom_p_85_variant1,0.01,0.938657,168,0.36
mushroom_p_85_variant1,0.05,0.934838,273,0.64
mushroom_p_85_variant1,0.1,0.928028,457,1.04
mushroom_p_85_variant1,0.2,0.921547,860,1.91
mushroom_p_85_variant1,0.3,0.928235,1280,2.78
mushroom_p_85_variant1,0.5,0.940092,2119,4.55
musk,0.01,0.989207,37,0.09
musk,0.05,0.984792,157,0.31
musk,0.1,0.98024,302,0.6
musk,0.2,0.962476,600,1.08
musk,0.3,0.94594,894,1.57
musk,0.5,0.922912,1484,2.65
nhanes_age_364,0.01,0.878334,25,0.02
nhanes_age_364,0.05,0.925666,99,0.07
nhanes_age_364,0.1,0.948599,194,0.14
nhanes_age_364,0.2,0.947508,385,0.27
nhanes_age_364,0.3,0.9444,579,0.42
nhanes_age_364,0.5,0.820997,958,0.63
optdigits,0.01,0.40028,62,0.14
optdigits,0.05,0.539913,261,0.68
optdigits,0.1,0.567648,512,1.13
optdigits,0.2,0.589276,1019,2.24
optdigits,0.3,0.594993,1525,3.32
optdigits,0.5,0.601357,2536,5.42
pageblocks_1_258_variant1,0.01,0.859484,50,0.09
pageblocks_1_258_variant1,0.05,0.895129,247,0.41
pageblocks_1_258_variant1,0.1,0.927934,492,0.82
pageblocks_1_258_variant1,0.2,0.946852,983,1.63
pageblocks_1_258_variant1,0.3,0.953268,1474,2.42
pageblocks_1_258_variant1,0.5,0.95591,2458,3.99
pendigits,0.01,0.914573,75,0.18
pendigits,0.05,0.921965,341,0.88
pendigits,0.1,0.929759,676,1.62
pendigits,0.2,0.936036,1349,3.38
pendigits,0.3,0.942026,2017,4.73
pendigits,0.5,0.946934,3358,7.62
pima_TRUE_55_variant1,0.01,0.8276,10,0.0
pima_TRUE_55_variant1,0.05,0.934545,29,0.01
pima_TRUE_55_variant1,0.1,0.938182,52,0.01
pima_TRUE_55_variant1,0.2,0.934509,102,0.02
pima_TRUE_55_variant1,0.3,0.936145,153,0.03
pima_TRUE_55_variant1,0.5,0.940655,252,0.05
psdas_dropout_1421,0.01,0.721096,40,0.1
psdas_dropout_1421,0.05,0.715228,160,0.36
psdas_dropout_1421,0.1,0.721028,308,0.71
psdas_dropout_1421,0.2,0.721686,610,1.32
psdas_dropout_1421,0.3,0.727913,906,1.95
psdas_dropout_1421,0.5,0.73672,1503,3.17
satellite,0.01,0.657195,46,0.1
satellite,0.05,0.6478,221,0.44
satellite,0.1,0.646853,440,0.9
satellite,0.2,0.64637,881,1.72
satellite,0.3,0.648318,1321,2.54
satellite,0.5,0.651526,2201,4.19
satimage2,0.01,0.977944,59,0.14
satimage2,0.05,0.975477,288,0.66
satimage2,0.1,0.975229,575,1.29
satimage2,0.2,0.975738,1148,2.51
satimage2,0.3,0.975868,1720,3.79
satimage2,0.5,0.976165,2866,6.1
sick_sick_35_variant1,0.01,0.928099,45,0.07
sick_sick_35_variant1,0.05,0.917586,180,0.28
sick_sick_35_variant1,0.1,0.911978,358,0.55
sick_sick_35_variant1,0.2,0.914132,710,1.04
sick_sick_35_variant1,0.3,0.893985,1065,1.57
sick_sick_35_variant1,0.5,0.891362,1771,2.59
sick_sick_72_variant1,0.01,0.846622,45,0.07
sick_sick_72_variant1,0.05,0.841052,180,0.28
sick_sick_72_variant1,0.1,0.835283,358,0.55
sick_sick_72_variant1,0.2,0.840519,710,1.04
sick_sick_72_variant1,0.3,0.815859,1065,1.56
sick_sick_72_variant1,0.5,0.810078,1771,2.48
sonar_M_10_variant1,0.01,0.970103,6,0.0
sonar_M_10_variant1,0.05,0.993814,9,0.0
sonar_M_10_variant1,0.1,0.990722,12,0.0
sonar_M_10_variant1,0.2,0.987629,22,0.0
sonar_M_10_variant1,0.3,0.986598,31,0.0
sonar_M_10_variant1,0.5,0.984536,51,0.0
spambase_spam_56_variant1,0.01,0.670834,31,0.04
spambase_spam_56_variant1,0.05,0.678078,141,0.18
spambase_spam_56_variant1,0.1,0.68595,280,0.36
spambase_spam_56_variant1,0.2,0.687602,559,0.7
spambase_spam_56_variant1,0.3,0.682427,839,1.02
spambase_spam_56_variant1,0.5,0.675183,1395,1.64
speech,0.01,0.461951,53,0.25
speech,0.05,0.459672,193,0.89
speech,0.1,0.460712,376,1.66
speech,0.2,0.462205,733,3.18
speech,0.3,0.463118,1094,4.79
speech,0.5,0.465063,1817,8.28
thyroid,0.01,0.932164,38,0.05
thyroid,0.05,0.906213,185,0.22
thyroid,0.1,0.892198,371,0.5
thyroid,0.2,0.876723,737,0.85
thyroid,0.3,0.868396,1105,1.26
thyroid,0.5,0.857903,1840,2.09
thyroid_disease_variant1,0.01,0.711607,99,0.38
thyroid_disease_variant1,0.05,0.696034,458,1.72
thyroid_disease_variant1,0.1,0.693373,913,3.44
thyroid_disease_variant1,0.2,0.681556,1820,7.23
thyroid_disease_variant1,0.3,0.666162,2732,12.0
thyroid_disease_variant1,0.5,0.65481,4549,17.85
tic_tac_toe_negative_12_variant1,0.01,1.0,223,0.05
tic_tac_toe_negative_12_variant1,0.05,1.0,282,0.07
tic_tac_toe_negative_12_variant1,0.1,1.0,291,0.08
tic_tac_toe_negative_12_variant1,0.2,1.0,295,0.09
tic_tac_toe_negative_12_variant1,0.3,1.0,289,0.08
tic_tac_toe_negative_12_variant1,0.5,1.0,370,0.09
tic_tac_toe_negative_26_variant1,0.01,1.0,223,0.05
tic_tac_toe_negative_26_variant1,0.05,1.0,282,0.08
tic_tac_toe_negative_26_variant1,0.1,1.0,291,0.09
tic_tac_toe_negative_26_variant1,0.2,1.0,295,0.09
tic_tac_toe_negative_26_variant1,0.3,1.0,289,0.08
tic_tac_toe_negative_26_variant1,0.5,0.980216,370,0.1
tic_tac_toe_negative_32_variant1,0.01,1.0,223,0.06
tic_tac_toe_negative_32_variant1,0.05,1.0,282,0.07
tic_tac_toe_negative_32_variant1,0.1,1.0,291,0.14
tic_tac_toe_negative_32_variant1,0.2,1.0,295,0.16
tic_tac_toe_negative_32_variant1,0.3,1.0,289,0.08
tic_tac_toe_negative_32_variant1,0.5,0.935204,370,0.09
tic_tac_toe_negative_54_variant1,0.01,1.0,223,0.06
tic_tac_toe_negative_54_variant1,0.05,1.0,282,0.09
tic_tac_toe_negative_54_variant1,0.1,1.0,291,0.1
